canonical_id,dow,hour,busyness,busyness_pct
cv_0159,2,18,5760.2,25.4
cv_0159,2,19,3621.8,16.0
cv_0159,2,20,2764.2,12.2
cv_0159,2,21,2423.0,10.7
cv_0159,2,22,1991.6,8.8
cv_0159,2,23,1178.9,5.2
cv_0159,3,0,571.0,2.5
cv_0159,3,1,225.8,1.0
cv_0159,3,2,113.6,0.5
cv_0159,3,3,66.2,0.3
cv_0159,3,4,93.4,0.4
cv_0159,3,5,549.7,2.4
cv_0159,3,6,1555.7,6.9
cv_0159,3,7,3542.7,15.7
cv_0159,3,8,5514.5,24.4
cv_0159,3,9,4233.5,18.7
cv_0159,3,10,2574.1,11.4
cv_0159,3,11,2347.5,10.4
cv_0159,3,12,2442.1,10.8
cv_0159,3,13,2622.1,11.6
cv_0159,3,14,2953.3,13.0
cv_0159,3,15,3706.1,16.4
cv_0159,3,16,4662.2,20.6
cv_0159,3,17,6774.6,29.9
cv_0159,3,18,5661.2,25.0
cv_0159,3,19,3612.0,16.0
cv_0159,3,20,2789.1,12.3
cv_0159,3,21,2449.4,10.8
cv_0159,3,22,2059.5,9.1
cv_0159,3,23,1302.0,5.8
cv_0159,4,0,706.3,3.1
cv_0159,4,1,257.7,1.1
cv_0159,4,2,128.7,0.6
cv_0159,4,3,72.5,0.3
cv_0159,4,4,98.5,0.4
cv_0159,4,5,489.4,2.2
cv_0159,4,6,1290.6,5.7
cv_0159,4,7,2550.5,11.3
cv_0159,4,8,3366.7,14.9
cv_0159,4,9,2901.7,12.8
cv_0159,4,10,2470.8,10.9
cv_0159,4,11,2367.1,10.5
cv_0159,4,12,2495.0,11.0
cv_0159,4,13,2756.9,12.2
cv_0159,4,14,3160.0,14.0
